oTime,o,h,l,c,v
2019-11-03T11:00:00,11902.0,11950.0,11902.0,11950.0,5702
2019-11-03T11:30:00,11902.0,11902.0,11902.0,11902.0,83
2019-11-03T12:00:00,11949.0,11949.0,11869.0,11910.0,28280
2019-11-04T12:00:00,11582.0,11740.0,11545.0,11545.0,18742
2019-11-05T09:00:00,11800.0,11800.0,11800.0,11800.0,1030
2019-11-05T09:30:00,11795.0,11795.0,11750.0,11750.0,15165
2019-11-05T10:00:00,11761.0,11780.0,11761.0,11780.0,3250
2019-11-09T09:30:00,11771.0,11771.0,11770.0,11770.0,6597
2019-11-09T10:00:00,11770.0,11977.0,11770.0,11977.0,2668
2019-11-10T09:00:00,11900.0,11900.0,11725.0,11725.0,21639
2019-11-10T09:30:00,11700.0,11700.0,11700.0,11700.0,2000
2019-11-10T10:00:00,11700.0,11700.0,11590.0,11655.0,6096
2019-11-10T10:30:00,11600.0,11600.0,11590.0,11590.0,7411
2019-11-10T11:00:00,11503.0,11655.0,11490.0,11595.0,6880
2019-11-10T12:00:00,11595.0,11595.0,11563.0,11595.0,1149
2019-11-11T09:00:00,11713.0,11713.0,11687.0,11700.0,16469
2019-11-11T09:30:00,11695.0,11695.0,11510.0,11510.0,23853
2019-11-11T10:00:00,11713.0,11713.0,11713.0,11713.0,200
2019-11-11T10:30:00,11637.0,11637.0,11637.0,11637.0,287
2019-11-11T11:00:00,11637.0,11637.0,11637.0,11637.0,5000
2019-11-11T11:30:00,11630.0,11630.0,11600.0,11600.0,2394
2019-11-11T12:00:00,11600.0,11713.0,11558.0,11558.0,12632
2019-11-12T10:30:00,11660.0,11660.0,11600.0,11600.0,18792
2019-11-12T11:00:00,11750.0,11750.0,11600.0,11700.0,15148
2019-11-12T12:00:00,11650.0,11700.0,11650.0,11700.0,9331
2019-11-13T09:00:00,11700.0,11700.0,11700.0,11700.0,6100
2019-11-13T09:30:00,11700.0,11849.0,11700.0,11849.0,14414
2019-11-16T09:00:00,11998.0,11998.0,11520.0,11601.0,12453
2019-11-16T09:30:00,11680.0,11700.0,11610.0,11610.0,12180
2019-11-16T10:00:00,11610.0,11620.0,11600.0,11600.0,20400
2019-11-16T10:30:00,11699.0,11700.0,11699.0,11700.0,3000
2019-11-16T11:00:00,11601.0,11832.0,11600.0,11820.0,97000
2019-11-16T11:30:00,11720.0,11990.0,11700.0,11830.0,44760
2019-11-16T12:00:00,11730.0,11730.0,11730.0,11730.0,10000
2019-11-16T12:30:00,11832.0,11832.0,11832.0,11832.0,10000
2019-11-18T09:00:00,11435.0,11435.0,11380.0,11390.0,17351
2019-11-18T09:30:00,11390.0,11390.0,11375.0,11375.0,2649
2019-11-18T10:00:00,11371.0,11371.0,11280.0,11280.0,11700
2019-11-18T10:30:00,11281.0,11281.0,11281.0,11281.0,1500
2019-11-18T11:00:00,11300.0,11389.0,11291.0,11291.0,22000
2019-11-18T11:30:00,11296.0,11300.0,11295.0,11300.0,10100
2019-11-18T12:00:00,11389.0,11400.0,11389.0,11400.0,28479
2019-11-19T10:00:00,11700.0,11700.0,11645.0,11700.0,4031
2019-11-19T10:30:00,11645.0,11850.0,11645.0,11800.0,32789
2019-11-19T11:00:00,11790.0,11800.0,11700.0,11800.0,25113
2019-11-19T11:30:00,11699.0,11830.0,11699.0,11830.0,22000
2019-11-19T12:00:00,11700.0,11830.0,11700.0,11830.0,10367
2019-11-20T10:30:00,11750.0,11750.0,11700.0,11700.0,10145
2019-11-20T11:00:00,11745.0,11750.0,11700.0,11700.0,12850
2019-11-20T11:30:00,11686.0,11800.0,11685.0,11799.0,14250
2019-11-20T12:00:00,11799.0,11799.0,11700.0,11700.0,2235
2019-11-23T11:00:00,11675.0,11675.0,11675.0,11675.0,250
2019-11-23T11:30:00,11650.0,11670.0,11585.0,11670.0,66800
2019-11-23T12:00:00,11670.0,11743.0,11590.0,11740.0,180218
2019-11-25T10:00:00,11874.0,11875.0,11700.0,11700.0,9295
2019-11-25T11:00:00,11665.0,11665.0,11665.0,11665.0,1447
2019-11-26T11:30:00,11738.0,11748.0,11738.0,11748.0,12000
2019-11-26T12:00:00,11730.0,11730.0,11730.0,11730.0,1046
2019-11-27T09:00:00,11879.0,11879.0,11878.0,11879.0,7500
2019-11-27T09:30:00,11879.0,11880.0,11875.0,11880.0,10000
2019-11-27T10:00:00,11880.0,11880.0,11880.0,11880.0,400
2019-11-27T10:30:00,11880.0,11940.0,11870.0,11870.0,23285
2019-11-30T09:30:00,11780.0,11900.0,11750.0,11750.0,59153
2019-11-30T10:00:00,11700.0,11700.0,11695.0,11700.0,3699
2019-11-30T10:30:00,11750.0,11750.0,11697.0,11697.0,6501
2019-11-30T11:00:00,11749.0,11750.0,11749.0,11750.0,7000
2019-11-30T11:30:00,11701.0,11750.0,11700.0,11750.0,44586
2019-11-30T12:00:00,11705.0,11780.0,11698.0,11780.0,46255
2019-12-01T11:00:00,11775.0,11820.0,11730.0,11730.0,50000
2019-12-01T11:30:00,11735.0,11829.0,11735.0,11820.0,51456
2019-12-01T12:00:00,11740.0,11800.0,11730.0,11800.0,8600
2019-12-02T12:00:00,11843.0,11843.0,11842.0,11842.0,2600
2019-12-03T10:30:00,11895.0,12100.0,11865.0,12075.0,22777
2019-12-03T11:00:00,11970.0,11970.0,11854.0,11891.0,52267
2019-12-03T11:30:00,11891.0,11900.0,11891.0,11900.0,58518
2019-12-03T12:00:00,11891.0,11900.0,11891.0,11900.0,34073
2019-12-04T09:30:00,11971.0,11971.0,11896.0,11900.0,40200
2019-12-07T10:00:00,12090.0,12090.0,12000.0,12000.0,4745
2019-12-07T10:30:00,12010.0,12098.0,12010.0,12098.0,22190
2019-12-07T11:00:00,12091.0,12091.0,12055.0,12055.0,2142
2019-12-07T11:30:00,12055.0,12094.0,12036.0,12037.0,16814
2019-12-07T12:00:00,12099.0,12100.0,12099.0,12099.0,1499
2019-12-08T10:30:00,12300.0,12400.0,12300.0,12400.0,6122
2019-12-08T11:00:00,12400.0,12400.0,12400.0,12400.0,3225
2019-12-08T11:30:00,12270.0,12270.0,12270.0,12270.0,100
2019-12-08T12:00:00,12290.0,12400.0,12290.0,12400.0,30635
